Doc-ID,Token-Count,Sentence-Count,Initial-Cas-bytes
13342347,180,7,22096
13343505,170,7,20991
13343794,90,4,14042
13346797,221,7,25688
13349096,188,7,22556
133513386,181,7,21946
13351480,227,7,25833
133604043,108,5,15742
133604324,398,17,41925
133606145,209,9,24651
133606914,172,7,21233
13365288,248,9,28222
1336704,200,9,23925
13371996,131,6,17670
13372315,139,5,18185
13377710,81,4,13255
1338390,160,7,20261
13389127,181,7,22125
13392101,263,12,29647
13395192,276,10,30710
13399366,147,4,18872
134013717,282,9,31138
1340725,88,4,13808
13412487,126,4,17195
13435051,76,4,12756
1344758,241,8,27441
1345115,211,8,24948
13485594,237,10,26702
13510649,158,6,19959
13522424,251,9,28320
13526046,83,4,13503
13527230,36,1,9070
13545695,83,4,13393
1354820,178,7,21781
13554495,161,8,20294
13569058,268,10,30013
13574766,82,4,13277
13580910,96,7,14592
13581957,228,4,25326
13582031,205,7,24169
13593213,79,3,12909
13601985,72,3,12317
13603641,298,12,32736
13607125,103,5,15218
13614715,258,10,29360
13627301,228,9,26287
13631772,229,10,26556
13633222,110,4,15632
13635864,159,6,20051
136612078,212,6,24278
13664659,349,8,36799
1367485,106,4,15426
13688122,144,6,18832
13688464,323,9,34346
13691211,112,4,15688
13707848,225,10,26243
13708908,223,9,25935
1374134,106,4,15353
13752673,92,4,14165
13753322,206,7,24302
13754095,54,2,10723
13754485,154,6,19717
1378288,125,5,16888
13784458,272,10,30239
13786300,215,9,25217
13835898,184,6,22282
13839117,242,8,27039
1384027,207,6,24379
13842739,123,4,16822
13872909,76,5,12855
13880016,181,6,21937
13886437,207,10,24661
13887653,194,8,23499
13895702,191,7,22855
13902028,164,5,20343
13909024,107,5,15540
13911713,260,10,29256
13913278,184,8,22409
13914390,348,10,36383
13914916,228,9,26304
13918254,183,6,22127
13929265,38,2,9400
13930242,203,13,24269
13934810,252,8,28362
1393582,54,2,10519
13938814,111,6,15973
13942011,179,5,21744
13948781,58,3,11134
139518,130,5,17544
13963389,102,5,15174
13964167,343,16,36956
13964395,132,4,17606
13970780,242,11,27551
13971748,183,6,21994
13975251,168,7,20976
13977210,166,6,20553
13978393,65,1,11561
13982509,97,3,14462
13983611,80,2,12983
13985900,200,5,23729
13986252,143,5,18603
13986539,82,5,13374
13994709,122,5,16932
14000204,238,10,27313
14002690,157,8,20021
14009038,202,9,24301
140124269,207,10,24562
14015691,194,8,23370
14026174,204,9,24337
14028537,193,7,23064
14028579,201,10,23860
140324669,327,8,34712
14034435,144,7,18855
14035616,174,7,21532
140392513,96,4,14450
14042208,138,5,18265
140455484,139,4,18181
14045854,207,7,24235
14049995,105,5,15359
14056602,220,10,25746
14060401,196,7,22843
14063097,80,3,13069
14066850,212,11,25051
14068610,164,7,20490
14072231,222,5,25164
14080388,221,8,25660
14082214,132,6,17845
14090064,111,6,15930
140906308,86,2,13496
140961423,57,2,10966
14097661,176,7,21637
140991300,108,4,15544
1410055,267,9,29545
141008867,200,4,23435
14104935,132,5,17694
14110520,111,3,15761
141142624,135,5,17939
14114691,114,5,16042
14114707,457,12,46641
1411790,108,4,15521
14118344,227,7,26205
141217701,50,2,10377
14124597,261,12,29452
1412503,133,5,17820
14125149,196,7,23462
14125658,71,3,12271
14126129,214,12,25397
141312867,106,1,15097
14132108,107,6,15598
14134618,150,6,19285
141350277,55,2,10783
141425195,181,6,21937
14143280,132,7,17803
141435437,104,3,15103
14153895,257,10,29018
14158996,39,1,9399
14161891,146,6,18971
14163930,248,10,28014
1416780,131,5,17530
14168184,117,6,16495
14169713,251,7,28136
14172533,129,5,17407
141783669,329,10,35182
14181009,165,5,20446
14188660,273,14,30786
141894849,89,3,13853
14191760,188,7,22681
141949724,960,38,93109
14197772,126,5,17106
14204300,66,2,11748
14233954,93,3,14167
142343043,215,7,24890
14234608,302,11,33031
14238944,95,5,14475
14240383,157,6,19960
14241494,171,5,20976
14249545,63,2,11366
14250034,43,2,9813
14251445,225,7,26036
14252503,70,3,12193
14252770,91,5,14120
14254884,155,7,19931
1425531,195,7,23337
14260678,134,5,17832
14287019,98,4,14703
14287583,238,9,27344
142886057,212,9,25029
1429061,166,7,20534
14290857,158,4,19873
14293820,263,8,29514
14295762,242,9,27755
14295828,168,7,20903
14296383,87,5,13813
143018420,215,7,25026
14302874,239,12,27475
143064686,209,8,24405
143083707,235,18,27560
143089095,90,3,13906
1431666,199,9,23874
143170596,258,9,28945
143201874,70,3,12189
143204496,159,5,19955
143223003,614,14,60602
14322954,61,2,11220
143253229,147,6,19018
143259805,149,6,19180
1432741,98,4,14548
14335781,159,7,20145
14336036,45,2,9983
14337117,172,8,21482
143371918,389,7,40175
143399186,188,5,22506
1434155,107,5,15430
14341661,239,9,27271
143417234,315,12,34251
14342054,65,3,11767
1434367,38,2,9408
143446956,233,8,26714
14345673,239,7,27097
143459158,100,3,14757
143471937,176,7,21619
14347267,99,3,14575
14347643,46,2,10031
14350868,193,7,23143
143509931,184,5,22167
143516975,222,10,25663
143551607,128,4,17314
143573181,145,6,18823
14358899,116,4,16228
143611327,126,7,17225
143617305,124,3,16793
143622547,117,4,16303
14362497,278,8,30514
143627699,65,3,11698
14363020,111,4,15759
143641619,272,9,30152
143664478,207,10,24358
143673037,176,7,21531
143687545,333,10,35630
143688215,343,11,36497
143693896,164,8,20592
14370400,155,6,19716
143751476,200,5,23467
14375860,228,7,26184
143781682,195,8,23339
143828029,754,27,74026
143836093,266,9,29643
14387674,102,4,15011
143878448,211,8,24542
14387896,233,10,26893
14394800,198,11,23841
14395287,296,13,32345
143983042,251,7,28303
144026915,172,6,21257
144040664,242,7,27248
144057260,264,6,29192
144075761,169,7,20971
144083296,43,1,9710
144095326,243,8,27476
144102800,283,8,30964
14410981,52,2,10564
144127619,103,3,15110
14414305,246,12,28158
144199434,45,1,9894
144214106,60,2,11167
144243275,245,8,27672
144250409,329,15,35571
144266736,137,5,18113
144291566,168,5,20703
144312537,243,8,27448
144327552,68,3,11968
14433944,125,3,16991
14437647,81,4,13208
144394368,262,11,29154
14439755,82,3,13234
